parm,estimate,stderr,dof,t,p,min95,max95,age,scale_factor
23b.age_center,0,0,666,,,0,0,,.99500698
24.age_center,-.0003796062971416,.000741074230978,666,-.5122378855902707,.6086543521561351,-.0018347295051557,.0010755169108725,24,.99462736
25.age_center,6.03575455515e-06,.000741074230978,666,.0081446018534222,.9935040587529143,-.0014490874534589,.0014611589625692,25,.995013
26.age_center,-.00053618456188,.000741074230978,666,-.7235234197421553,.4696124077484548,-.0019913077698941,.0009189386461341,26,.99447078
27.age_center,-.0010138718705428,.000741074230978,666,-1.368111085450615,.1717386960634784,-.0024689950785569,.0004412513374713,27,.9939931
28.age_center,-.0005876829749659,.000741074230978,666,-.7930149914811558,.4280514984720242,-.00204280618298,.0008674402330481,28,.99441928
29.age_center,-.000079776111402,.000741074230978,666,-.107649285411954,.9143063206911024,-.0015348993194161,.0013753470966121,29,.99492717
30.age_center,.0001219950224224,.000741074230978,666,.1646191667755084,.8692936936107877,-.0013331281855917,.0015771182304365,30,.99512899
31.age_center,.0004438161849976,.000741074230978,666,.5988822258896436,.5494550656715024,-.0010113070230165,.0018989393930117,31,.99545079
32.age_center,.0007785244991905,.000741074230978,666,1.050535110582726,.2938531944427586,-.0006765987088236,.0022336477072046,32,.99578547
33.age_center,.0007178469708091,.000741074230978,666,.9686573096216633,.3330678309169354,-.000737276237205,.0021729701788232,33,.9957248
34.age_center,.0014302761931168,.000741074230978,666,1.930003950116072,.0540306847801788,-.0000248470148973,.0028853994011309,34,.99643725
35.age_center,.0016068847555863,.000741074230978,666,2.168318217549734,.0304878328326265,.0001517615475722,.0030620079636004,35,.99661386
36.age_center,.0023615548485204,.000741074230978,666,3.18666437153499,.0015065100310241,.0009064316405063,.0038166780565345,36,.99736851
37.age_center,.0020294377678319,.000741074230978,666,2.738508077866318,.0063368601812833,.0005743145598178,.003484560975846,37,.9970364
38.age_center,.0021620330057646,.000741074230978,666,2.917431095817867,.0036481560920619,.0007069097977505,.0036171562137787,38,.99716902
39.age_center,.002191004000212,.000741074230978,666,2.956524338082081,.0032213408055681,.0007358807921979,.0036461272082261,39,.99719799
40.age_center,.0019265319171705,.000741074230978,666,2.599647696058624,.0095387490635791,.0004714087091564,.0033816551251845,40,.99693352
41.age_center,.0023531568677802,.000741074230978,666,3.175332199413562,.0015656801550603,.0008980336597661,.0038082800757943,41,.99736011
42.age_center,.0022025673012985,.000741074230978,666,2.97212776969943,.0030641090773232,.0007474440932844,.0036576905093125,42,.99720955
43.age_center,.0018818911753203,.000741074230978,666,2.539409814367258,.0113302502918622,.0004267679673062,.0033370143833344,43,.99688888
44.age_center,.0020610690116882,.000741074230978,666,2.781191040697961,.0055691410734342,.0006059458036741,.0035161922197023,44,.99706805
45.age_center,.0014487285363047,.000741074230978,666,1.954903403391471,.0510124068619586,-6.39467170943e-06,.0029038517443188,45,.99645567
46.age_center,.0016369756899382,.000741074230978,666,2.208922698307558,.0275197137597643,.0001818524819241,.0030920988979523,46,.99664396
47.age_center,.0025254237024408,.000741074230978,666,3.407787771958873,.0006943523337624,.0010703004944267,.0039805469104549,47,.99753237
48.age_center,.0028404813063772,.000741074230978,666,3.832924135856777,.000138625825273,.0013853580983631,.0042956045143913,48,.99784744
49.age_center,.0024717042320653,.000741074230978,666,3.335299122198979,.0008993639466248,.0010165810240512,.0039268274400794,49,.99747866
50.age_center,.0021353081652993,.000741074230978,666,2.881368796862928,.0040869388959078,.0006801849572852,.0035904313733134,50,.99714226
51.age_center,.0021022119020161,.000741074230978,666,2.836708947822546,.0046966435738174,.000647088694002,.0035573351100302,51,.99710917
52.age_center,.0024224613842211,.000741074230978,666,3.268851193252411,.001135393258097,.0009673381762071,.0038775845922352,52,.99742943
53.age_center,.0018387781946283,.000741074230978,666,2.481233482105494,.013338565748214,.0003836549866142,.0032939014026424,53,.99684572
54.age_center,.0023499978216071,.000741074230978,666,3.171069406239755,.0015884877794904,.000894874613593,.0038051210296212,54,.99735695
55.age_center,.0023351405796252,.000741074230978,666,3.151021155523666,.0016999221830735,.0008800173716111,.0037902637876393,55,.99734211
56.age_center,.0022449618891666,.000741074230978,666,3.029334708081553,.0025457927012276,.0007898386811525,.0037000850971807,56,.99725193
57.age_center,.0026181057879799,.000741074230978,666,3.532852281916078,.0004395076212702,.0011629825799658,.004073228995994,57,.99762505
58.age_center,.0029174779590807,.000741074230978,666,3.936822840581583,.0000912557845943,.0014623547510666,.0043726011670948,58,.99792445
59.age_center,.003284542184127,.000741074230978,666,4.432136548308046,.0000109092310412,.0018294189761129,.0047396653921411,59,.99829149
60.age_center,.003974061263235,.000741074230978,666,5.362568413680002,1.13284604682e-07,.0025189380552209,.0054291844712491,60,.99898106
